Date,Weekly_Sales,holiday
2010-01-10,23381.38,0.0
2010-01-17,23381.38,0.0
2010-01-24,23381.38,0.0
2010-01-31,23381.38,0.0
2010-02-07,24427.815,0.0
2010-02-14,24427.815,0.0
2010-02-21,26468.27,0.0
2010-02-28,24101.89,0.0
2010-03-07,24101.89,0.0
2010-03-14,25931.269999999997,0.0
2010-03-21,22632.57,0.0
2010-03-28,38971.89,0.0
2010-04-04,38971.89,0.0
2010-04-11,22932.26,0.0
2010-04-18,11570.27,0.0
2010-04-25,24763.98,0.0
2010-05-02,27117.895,0.0
2010-05-09,23082.14,0.0
2010-05-16,20397.735,0.0
2010-05-23,16157.17,0.0
2010-05-30,15784.6,0.0
2010-06-06,15784.6,0.0
2010-06-13,16926.17,0.0
2010-06-20,19778.44,0.0
2010-06-27,19054.58,0.0
2010-07-04,19054.58,0.0
2010-07-11,19260.44,0.0
2010-07-18,17918.22,0.0
2010-07-25,17313.46,0.0
2010-08-01,16472.48,0.0
2010-08-08,16472.48,0.0
2010-08-15,17699.095,0.0
2010-08-22,15412.44,0.0
2010-08-29,13570.32,0.0
2010-09-05,18516.45,0.0
2010-09-12,20249.54,0.0
2010-09-19,15862.61,0.0
2010-09-26,17039.38,0.0
2010-10-03,17039.38,0.0
2010-10-10,17776.56,1.0
2010-10-17,34980.11,0.0
2010-10-24,19525.85,0.0
2010-10-31,16377.46,0.0
2010-11-07,21817.36,0.0
2010-11-14,21817.36,0.0
2010-11-21,24716.49,0.0
2010-11-28,70158.86,1.0
2010-12-05,25559.864999999998,0.5
2010-12-12,23698.89,0.0
2010-12-19,59589.48,0.0
2010-12-26,85676.09,0.0
2011-01-02,32280.82,1.0
2011-01-09,21419.205,0.0
2011-01-16,17445.37,0.0
2011-01-23,18438.07,0.0
2011-01-30,22118.7,0.0
2011-02-06,22118.7,0.0
2011-02-13,26502.59,0.0
2011-02-20,31092.62,0.0
2011-02-27,23870.31,0.0
2011-03-06,16848.76,0.0
2011-03-13,16848.76,0.0
2011-03-20,22685.69,0.0
2011-03-27,18719.22,0.0
2011-04-03,30091.495,0.0
2011-04-10,30091.495,0.0
2011-04-17,27337.945,0.0
2011-04-24,21786.16,0.0
2011-05-01,17503.28,0.0
2011-05-08,21183.42,0.0
2011-05-15,15587.78,0.0
2011-05-22,15575.25,0.0
2011-05-29,16613.98,0.0
2011-06-05,16195.54,0.0
2011-06-12,16195.54,0.0
2011-06-19,17861.56,0.0
2011-06-26,21695.24,0.0
2011-07-03,22699.69,0.0
2011-07-10,30352.06,0.0
2011-07-17,18444.8,0.0
2011-07-24,19331.53,0.0
2011-07-31,17406.68,0.0
2011-08-07,20191.27,0.0
2011-08-14,20191.27,0.0
2011-08-21,18643.51,0.0
2011-08-28,15478.26,0.0
2011-09-04,15478.26,0.0
2011-09-11,19075.78,1.0
2011-09-18,30584.18,0.0
2011-09-25,20562.37,0.0
2011-10-02,16385.37,0.0
2011-10-09,18648.73,0.0
2011-10-16,22917.89,0.0
2011-10-23,32700.34,0.0
2011-10-30,26391.79,0.0
2011-11-06,30186.010000000002,0.5
2011-11-13,31002.65,0.0
2011-11-20,27339.37,0.0
2011-11-27,79340.15,1.0
2011-12-04,79340.15,1.0
2011-12-11,21320.93,0.0
2011-12-18,43479.7,0.0
2011-12-25,61483.82,0.0
2012-01-01,34981.76,1.0
2012-01-08,17233.25,0.0
2012-01-15,19281.61,0.0
2012-01-22,19298.42,0.0
2012-01-29,21376.42,0.0
2012-02-05,30642.53,0.0
2012-02-12,30642.53,0.0
2012-02-19,46219.96,0.0
2012-02-26,30797.88,0.0
2012-03-04,28307.43,0.0
2012-03-11,17615.28,0.0
2012-03-18,29345.72,0.0
2012-03-25,25442.13,0.0
2012-04-01,22392.09,0.0
2012-04-08,18953.07,0.0
2012-04-15,18458.33,0.0
2012-04-22,16645.01,0.0
2012-04-29,17170.39,0.0
2012-05-06,17170.39,0.0
2012-05-13,25508.81,0.0
2012-05-20,17955.73,0.0
2012-05-27,18625.67,0.0
2012-06-03,23105.81,0.0
2012-06-10,24035.645,0.0
2012-06-17,21376.63,0.0
2012-06-24,24337.24,0.0
2012-07-01,20233.9,0.0
2012-07-08,20233.9,0.0
2012-07-15,18162.88,0.5
2012-07-22,17896.46,0.0
2012-07-29,14105.4,0.0
2012-08-05,14105.4,0.0
2012-08-12,24752.99,0.0
2012-08-19,15440.65,0.0
2012-08-26,22446.23,0.0
2012-09-02,18615.76,0.0
2012-09-09,25492.21,0.0
2012-09-16,19369.52,0.0
2012-09-23,25798.78,0.0
2012-09-30,22560.39,0.0
2012-10-07,38096.04,1.0
2012-10-14,18232.46,0.0
2012-10-21,20413.83,0.0
2012-10-28,25846.94,0.0
2012-11-04,25846.94,0.0
2012-11-11,17277.63,0.0
2012-11-18,17277.63,0.0
2012-11-25,17277.63,0.0
2012-12-02,17277.63,0.0
2012-12-09,17277.63,0.0
2012-12-16,20920.03,0.0
