start_date,number_trips,duration,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,events,wind_dir_degrees,zip_code
2013-08-29 09:00:00,12,1022.5,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 10:00:00,14,1677.857142857143,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 11:00:00,42,2203.809523809524,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 12:00:00,120,934.8333333333335,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 13:00:00,87,3934.103448275862,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 14:00:00,50,1273.26,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 15:00:00,62,2202.0806451612907,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 16:00:00,61,821.7868852459018,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 17:00:00,88,763.0454545454545,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 18:00:00,68,1040.4264705882354,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 19:00:00,59,842.9322033898304,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 20:00:00,36,794.0555555555555,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 21:00:00,25,4122.56,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 22:00:00,20,660.5,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-29 23:00:00,4,568.0,74.0,68.0,61.0,61.0,58.0,56.0,93.0,75.0,57.0,30.07,30.02,29.97,10.0,10.0,10.0,23.0,11.0,28.0,0,4.0,,286.0,94107
2013-08-30 00:00:00,1,2137.0,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 01:00:00,1,2224.0,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 02:00:00,2,26327.5,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 03:00:00,1,18198.0,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 04:00:00,0,,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 05:00:00,2,522.0,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 06:00:00,8,4929.25,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 07:00:00,14,1288.4285714285713,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 08:00:00,36,3069.388888888889,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 09:00:00,30,2329.8,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 10:00:00,42,2503.6666666666665,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 11:00:00,34,1789.2058823529412,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 12:00:00,84,2971.404761904762,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 13:00:00,59,2928.694915254237,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 14:00:00,54,768.7222222222223,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 15:00:00,51,1519.666666666667,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 16:00:00,60,3414.4666666666667,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 17:00:00,54,1113.2222222222224,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 18:00:00,72,4577.305555555556,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 19:00:00,50,2079.5,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 20:00:00,16,6183.125,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 21:00:00,19,676.2631578947369,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 22:00:00,13,6652.538461538462,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-30 23:00:00,11,1067.090909090909,78.0,69.0,60.0,61.0,58.0,56.0,90.0,70.0,50.0,30.05,30.0,29.93,10.0,10.0,7.0,29.0,13.0,35.0,0,2.0,,291.0,94107
2013-08-31 00:00:00,6,2028.666666666667,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 01:00:00,4,454.0,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 02:00:00,4,5113.5,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 03:00:00,2,5168.0,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 04:00:00,0,,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 05:00:00,0,,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 06:00:00,1,310.0,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 07:00:00,1,1017.0,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 08:00:00,13,813.0769230769231,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 09:00:00,21,2317.0476190476197,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 10:00:00,35,1123.4,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 11:00:00,76,4164.131578947368,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
2013-08-31 12:00:00,69,4853.913043478261,71.0,64.0,57.0,57.0,56.0,54.0,93.0,75.0,57.0,30.0,29.96,29.92,10.0,10.0,10.0,26.0,15.0,31.0,0,4.0,,284.0,94107
